time,state,smoothing,residuals,variance,ac1,pseudotime_index,pseudotime
0,0.9993587,1.0235261233716055,-0.02416742337160549,,,0,0.31947902
1,0.9689494,0.9639074813361492,0.005041918663850731,,,1,0.3250713
2,0.94363385,0.9045359844200744,0.03909786557992556,,,2,0.32788643
3,0.9120578,0.8454749527576197,0.06658284724238028,,,3,0.33379212
4,0.9631124,0.7867604487845556,0.17635195121544434,,,4,0.33889386
5,0.51189506,0.7283703681592409,-0.216475308159241,,,5,0.35966438
6,0.49357328,0.6702029097895954,-0.1766296297895954,,,6,0.361465
7,0.58157766,0.6121321781905007,-0.0305545181905007,,,7,0.36385068
8,0.513934,0.5540135183370604,-0.04007951833706036,,,8,0.37128103
9,0.63397527,0.49560612876950955,0.13836914123049043,,,9,0.3746114
10,0.4009949,0.43648741349522496,-0.035492513495224975,,,10,0.3780818
11,0.34413722,0.3769932678924306,-0.03285604789243057,,,11,0.38257623
12,0.25310266,0.32399699716464236,-0.07089433716464238,,,12,0.3858794
13,0.2107816,0.27401415590798867,-0.06323255590798865,,,13,0.38689575
14,0.33859357,0.22643064581435643,0.11216292418564358,,,14,0.39107963
15,0.14008364,0.1801812041911439,-0.04009756419114388,,,15,0.39932215
16,0.15759096,0.1348302775396235,0.02276068246037649,,,16,0.40389606
17,0.050129022,0.09072707014063823,-0.04059804814063823,,,17,0.40493307
18,0.09611338,0.04833431433537995,0.04777906566462005,,,18,0.40806183
19,-0.13072732,0.007693639078775703,-0.13842095907877572,,,19,0.40907484
20,-0.031389393,-0.031191124095654166,-0.00019826890434583577,,,20,0.4108475
21,-0.08216636,-0.06849241124933708,-0.013673948750662912,,,21,0.41316986
22,-0.11277791,-0.10441103723178974,-0.008366872768210257,,,22,0.41670835
23,-0.13601972,-0.139361879959545,0.0033421599595449825,,,23,0.4179559
24,-0.24318458,-0.1731665567073009,-0.0700180232926991,,,24,0.4210905
25,-0.033798106,-0.2056970551647803,0.1718989491647803,,,25,0.4212921
26,-0.30442154,-0.23709075026930976,-0.06733078973069023,,,26,0.42291167
27,-0.30475834,-0.2676481482348821,-0.03711019176511793,,,27,0.42743686
28,-0.33507252,-0.29815273388829894,-0.03691978611170105,,,28,0.42783245
29,-0.26566678,-0.3291770540283269,0.06351027402832693,,,29,0.42836356
30,-0.3048732,-0.36105731822689335,0.05618411822689334,,,30,0.4304844
31,-0.36182615,-0.39399647545994454,0.032170325459944527,,,31,0.43130544
32,-0.53736675,-0.4285747699370035,-0.10879198006299651,,,32,0.43278855
33,-0.4118374,-0.4656356372662067,0.053798237266206694,,,33,0.4334783
34,-0.49326313,-0.5058351356295816,0.012572005629581606,,,34,0.44256583
35,-0.45935416,-0.5492338260077331,0.08987966600773306,,,35,0.44602007
36,-0.52713686,-0.59563128521914,0.06849442521913995,,,36,0.4473985
37,-0.6491607,-0.6455744348639061,-0.003586265136093947,,,37,0.44781584
38,-0.66658974,-0.6990229624141946,0.03243322241419455,,,38,0.44967297
