0,1,2,3,time,classifier,pseudotime_index,pseudotime
0.5859328,0.1678082,0.1457984,0.10046063,1,c1_0,1,0.3250713
0.5517238,0.17047168,0.18729548,0.09050908,3,c1_0,3,0.33379212
0.49624225,0.17772673,0.20704636,0.11898467,5,c1_0,5,0.35966438
0.538136,0.18189175,0.1621315,0.117840774,7,c1_0,7,0.36385068
0.4468229,0.20371066,0.18872839,0.16073799,9,c1_0,9,0.3746114
0.37937218,0.22282305,0.21805531,0.17974947,11,c1_0,11,0.38257623
0.4025704,0.22714564,0.20344725,0.16683674,13,c1_0,13,0.38689575
0.36760682,0.2386488,0.22149515,0.17224926,15,c1_0,15,0.39932215
0.36723518,0.24144489,0.21918178,0.1721382,17,c1_0,17,0.40493307
0.38126123,0.23477188,0.21497348,0.1689934,19,c1_0,19,0.40907484
0.34787133,0.24045146,0.22149983,0.19017749,21,c1_0,21,0.41316986
0.34236056,0.24306534,0.21672831,0.1978458,23,c1_0,23,0.4179559
0.33711246,0.24419409,0.21680404,0.20188947,25,c1_0,25,0.4212921
0.33336815,0.23834951,0.20744869,0.22083367,27,c1_0,27,0.42743686
0.33948213,0.24506982,0.19991703,0.21553108,29,c1_0,29,0.42836356
0.34102136,0.24732743,0.20264567,0.20900549,31,c1_0,31,0.43130544
0.33480498,0.24984202,0.20681542,0.20853753,33,c1_0,33,0.4334783
0.31859595,0.2551251,0.2140975,0.2121814,35,c1_0,35,0.44602007
0.32628688,0.252971,0.21271572,0.20802638,37,c1_0,37,0.44781584
0.33171296,0.25725597,0.2185696,0.19246143,39,c1_0,39,0.45465595
0.33407882,0.2581291,0.218534,0.18925807,41,c1_0,41,0.4676976
0.33231717,0.25043833,0.2254081,0.19183637,43,c1_0,43,0.47799823
0.33385816,0.25595862,0.22100866,0.18917453,45,c1_0,45,0.47922197
0.34740055,0.24529544,0.21426946,0.19303454,47,c1_0,47,0.49376398
0.3330622,0.25079492,0.21385235,0.20229055,49,c1_0,49,0.49827123
0.32714227,0.25700575,0.21382849,0.20202354,51,c1_0,51,0.50393045
0.31678694,0.2610308,0.2280277,0.19415452,53,c1_0,53,0.5204292
0.32289946,0.25041285,0.23203248,0.1946552,55,c1_0,55,0.5226173
0.33797878,0.24948196,0.22943465,0.18310462,57,c1_0,57,0.5269752
0.3108377,0.25153363,0.23354511,0.20408358,59,c1_0,59,0.5275566
0.30705822,0.25883356,0.234195,0.19991328,61,c1_0,61,0.5311333
0.3130956,0.2524857,0.2316779,0.20274085,63,c1_0,63,0.5362405
0.31707987,0.25479496,0.23022974,0.19789542,65,c1_0,65,0.5437371
0.3038121,0.25139645,0.24303012,0.20176135,67,c1_0,67,0.54746187
0.31500772,0.2591095,0.23440605,0.19147675,69,c1_0,69,0.5632145
0.33015123,0.2552397,0.22353646,0.19107267,71,c1_0,71,0.56884885
0.31529114,0.24838842,0.2335063,0.20281416,73,c1_0,73,0.5726982
0.30182815,0.25637895,0.23789932,0.20389365,75,c1_0,75,0.5749665
0.30832195,0.25731772,0.2341249,0.20023543,77,c1_0,77,0.5798603
0.2655759,0.2475703,0.2636064,0.22324745,79,c1_0,79,0.58516747
0.2697755,0.25261158,0.2557523,0.22186059,81,c1_0,81,0.5877568
0.2823664,0.25160104,0.24925728,0.2167753,83,c1_0,83,0.5957076
0.2884357,0.2522491,0.24864352,0.21067174,85,c1_0,85,0.59877026
0.2944324,0.25287458,0.2536572,0.19903581,87,c1_0,87,0.6013746
0.31147465,0.24720179,0.25648862,0.18483488,89,c1_0,89,0.6078696
0.3323001,0.24656805,0.2487567,0.17237519,91,c1_0,91,0.6182356
0.35991308,0.24128589,0.23352557,0.16527551,93,c1_0,93,0.6228127
0.39105207,0.23818976,0.21173088,0.15902723,95,c1_0,95,0.6256511
0.40756765,0.24192365,0.20211983,0.14838889,97,c1_0,97,0.6280718
0.43623123,0.23580171,0.1880559,0.13991119,99,c1_0,99,0.62892306
0.45075116,0.23786126,0.18138093,0.13000666,101,c1_0,101,0.6337474
0.4844961,0.23169053,0.16087233,0.122941025,103,c1_0,103,0.63572353
0.47257102,0.24128841,0.16411844,0.122022115,105,c1_0,105,0.6360798
0.49794048,0.23583645,0.15859576,0.10762731,107,c1_0,107,0.63723415
0.52203554,0.23310752,0.14774814,0.0971088,109,c1_0,109,0.63825583
