time,state,smoothing,residuals,variance,ac1,pseudotime_index,pseudotime
0,1.161895264602096,1.0657921656939204,0.09610309890817548,,,0,0.31947902
1,1.0324019065552892,1.006190647445861,0.02621125910942812,,,1,0.3250713
2,0.8644384202289306,0.9466774672516196,-0.08223904702268903,,,2,0.32788643
3,0.8213075293860143,0.8871764436429912,-0.06586891425697694,,,3,0.33379212
4,0.7498406626728547,0.8276478637956811,-0.07780720112282646,,,4,0.33889386
5,0.9002693173240213,0.7681056404565635,0.13216367686745778,,,5,0.35966438
6,0.7337131838179223,0.708617777906229,0.025095405911693236,,,6,0.361465
7,0.6756424522188276,0.6492539784251588,0.02638847379366882,,,7,0.36385068
8,0.513934,0.5900993191051926,-0.07616531910519264,,,8,0.37128103
9,0.63397527,0.5312992190441462,0.10267605095585375,,,9,0.3746114
10,0.4123199901236195,0.4732305285999388,-0.06091053847631933,,,10,0.3780818
11,0.3655863292337219,0.4164582234401873,-0.05087189420646537,,,11,0.38257623
12,0.3306042851992128,0.3609088755896099,-0.030304590390397068,,,12,0.3858794
13,0.3425085811271286,0.306812501780268,0.03569607934686064,,,13,0.38689575
14,0.24919132827473292,0.254569661536717,-0.005378333261984086,,,14,0.39107963
15,0.24867562941028384,0.2042153083445392,0.04446032106574466,,,15,0.39932215
16,0.10197422964719294,0.1558432071836493,-0.053868977536456364,,,16,0.40389606
17,0.02070904684793913,0.10939353685474118,-0.08868449000680205,,,17,0.40493307
18,-0.07723137101083054,0.06453400365738089,-0.14176537466821143,,,18,0.40806183
19,0.0614918763449824,0.021051838051885104,0.040440038293097294,,,19,0.40907484
20,-0.07127064243271453,-0.0207983547721771,-0.05047228766053742,,,20,0.4108475
21,2.013969802872051e-06,-0.06075532937457138,0.06075734334437425,,,21,0.41316986
22,0.007751886953853843,-0.09833876091659863,0.10609064787045247,,,22,0.41670835
23,-0.20259443586753365,-0.13333074157349445,-0.0692636942940392,,,23,0.4179559
24,-0.3896418648665419,-0.16636405028623943,-0.22327781458030246,,,24,0.4210905
25,-0.2689296110727689,-0.19841396014153498,-0.07051565093123394,,,25,0.4212921
26,-0.06519180110452946,-0.2303480321355795,0.16515623103105004,,,26,0.42291167
27,-0.33088070414287074,-0.2629526740778985,-0.06792803006497222,,,27,0.42743686
28,-0.33507252,-0.2967529559288821,-0.03831956407111786,,,28,0.42783245
29,-0.33754392679653716,-0.331282155960245,-0.0062617708362921465,,,29,0.42836356
30,-0.3048732,-0.3657788696503515,0.06090566965035149,,,30,0.4304844
31,-0.3378123572330512,-0.4005835844643403,0.06277122723128908,,,31,0.43130544
32,-0.2566758207722232,-0.43645458851836805,0.17977876774614487,,,32,0.43278855
33,-0.5365299744308492,-0.4746083977789477,-0.061921576651901455,,,33,0.4334783
34,-0.5007932169657309,-0.5157217410327287,0.01492852406699785,,,34,0.44256583
35,-0.5170635005477886,-0.5595495556859402,0.042486055138151624,,,35,0.44602007
36,-0.52713686,-0.6059924091498975,0.07885554914989745,,,36,0.4473985
37,-0.6826846266290241,-0.6550925845294231,-0.027592042099600977,,,37,0.44781584
38,-0.6512438967495745,-0.7073260607905633,0.05608216404098876,,,38,0.44967297
39,-0.69146129687924,-0.7619656633786032,0.0705043664993632,,,39,0.45465595
40,-0.8755844439425591,-0.8179720705424285,-0.05761237340013059,,,40,0.46067154
41,-0.8790403991675061,-0.8742947521136956,-0.004745647053810531,,,41,0.4676976
42,-0.9262100613817463,-0.9303507270947806,0.004140665713034286,,,42,0.47145623
43,-0.9325356964268963,-0.9862437603791243,0.05370806395222805,,,43,0.47799823
44,-1.0800009534966954,-1.0423805627117328,-0.0376203907849626,,,44,0.47809592
45,-1.1410838606617666,-1.098446887075152,-0.04263697358661456,,,45,0.47922197
46,-1.1954413932612424,-1.1540013631935369,-0.04144003006770558,,,46,0.4889981
