0,1,2,3,time,classifier,pseudotime_index,pseudotime
0.5510687,0.27587774,0.09091594,0.0821376,143,c1_0,143,0.6581294
0.5575483,0.27412635,0.08960407,0.07872128,145,c1_0,145,0.6587085
0.56652033,0.27213162,0.08359814,0.077749945,147,c1_0,147,0.66010594
0.578364,0.27150136,0.078156866,0.07197779,149,c1_0,149,0.66096044
0.507808,0.2899647,0.10025551,0.10197167,151,c1_0,151,0.6610741
0.4838479,0.29570916,0.10840156,0.112041354,153,c1_0,153,0.6635411
0.47811794,0.29813567,0.11133466,0.11241177,155,c1_0,155,0.66455066
0.52064645,0.2926618,0.0940673,0.09262439,157,c1_0,157,0.6666379
0.5474561,0.28436422,0.08701031,0.081169344,159,c1_0,159,0.6687522
0.58526593,0.2706762,0.074889675,0.06916816,161,c1_0,161,0.67162067
0.5433383,0.28756514,0.088712715,0.08038386,163,c1_0,163,0.6723641
0.5394559,0.29150575,0.08520323,0.08383515,165,c1_0,165,0.6725024
0.5181541,0.2977937,0.0919224,0.092129774,167,c1_0,167,0.6725976
0.5052275,0.3043339,0.09466927,0.09576925,169,c1_0,169,0.6735895
0.4756519,0.3149439,0.10023478,0.10916948,171,c1_0,171,0.6739024
0.49268004,0.30948383,0.0945416,0.10329447,173,c1_0,173,0.67446625
0.481518,0.3119721,0.09939708,0.10711277,175,c1_0,175,0.67498314
0.48130587,0.31427944,0.09534197,0.10907263,177,c1_0,177,0.67538595
0.4688796,0.3145279,0.094653435,0.12193902,179,c1_0,179,0.67604
0.43327093,0.3247231,0.104407914,0.13759807,181,c1_0,181,0.6778044
0.42360032,0.3318239,0.10262722,0.1419486,183,c1_0,183,0.67798924
0.40079883,0.33969492,0.10622381,0.15328248,185,c1_0,185,0.6784632
0.31564057,0.35918447,0.14160953,0.1835654,187,c1_0,187,0.6786741
0.30743906,0.35040858,0.15288767,0.18926466,189,c1_0,189,0.679045
0.32151067,0.33729842,0.15398517,0.18720575,191,c1_0,191,0.6795744
0.33658633,0.331397,0.15609299,0.1759237,193,c1_0,193,0.67991394
0.35920987,0.3315557,0.14672215,0.16251227,195,c1_0,195,0.6799602
0.23153615,0.36706156,0.20562345,0.19577889,197,c1_0,197,0.68091094
0.24886627,0.35355383,0.20612635,0.19145344,199,c1_0,199,0.68174076
0.29432595,0.34132385,0.19285055,0.17149962,201,c1_0,201,0.68257344
0.2906757,0.33872613,0.1999601,0.17063804,203,c1_0,203,0.6828178
0.3017476,0.3335997,0.19730528,0.16734749,205,c1_0,205,0.68438023
0.22500606,0.34693,0.23423284,0.19383104,207,c1_0,207,0.6845103
0.25244778,0.33432308,0.21947613,0.193753,209,c1_0,209,0.6851906
0.23159392,0.3276183,0.23426446,0.20652324,211,c1_0,211,0.68602294
0.23117873,0.32260793,0.24137785,0.20483541,213,c1_0,213,0.68695956
0.23099168,0.322654,0.24275932,0.20359504,215,c1_0,215,0.6886268
0.2504182,0.3243141,0.23190624,0.1933615,217,c1_0,217,0.694205
0.26140726,0.32559603,0.22271802,0.19027872,219,c1_0,219,0.6982267
0.21755196,0.32183245,0.252207,0.20840862,221,c1_0,221,0.6985281
0.21241766,0.32109356,0.25486115,0.21162756,223,c1_0,223,0.69959027
0.2441731,0.31927925,0.2371686,0.19937904,225,c1_0,225,0.700902
0.23830797,0.31324667,0.24033022,0.20811515,227,c1_0,227,0.70526797
0.2242266,0.30978924,0.2471379,0.21884623,229,c1_0,229,0.70622945
0.05707528,0.2873276,0.3684306,0.28716654,231,c1_0,231,0.7083701
0.31586578,0.19237454,0.3108294,0.18093027,1,c1_1,1,0.3250713
0.3067237,0.20057136,0.2926161,0.20008889,3,c1_1,3,0.33379212
0.30961612,0.21195655,0.2886908,0.18973649,5,c1_1,5,0.35966438
0.33433327,0.20055495,0.27346748,0.19164419,7,c1_1,7,0.36385068
0.3106321,0.21504384,0.29369944,0.1806246,9,c1_1,9,0.3746114
0.31905267,0.20231973,0.27853978,0.20008788,11,c1_1,11,0.38257623
0.32987183,0.21774364,0.25440407,0.19798039,13,c1_1,13,0.38689575
0.34653193,0.21791023,0.23530762,0.20025018,15,c1_1,15,0.39932215
0.33899274,0.2142897,0.23185678,0.21486078,17,c1_1,17,0.40493307
0.30746418,0.20655939,0.25814927,0.22782718,19,c1_1,19,0.40907484
0.32240257,0.1999386,0.25180805,0.22585076,21,c1_1,21,0.41316986
0.32809606,0.20618814,0.24996519,0.21575055,23,c1_1,23,0.4179559
0.25852785,0.18115054,0.29425353,0.2660681,25,c1_1,25,0.4212921
0.28048185,0.18492547,0.2652537,0.26933908,27,c1_1,27,0.42743686
0.28590167,0.19511394,0.2542343,0.26475006,29,c1_1,29,0.42836356
0.29364002,0.20253822,0.25010863,0.25371307,31,c1_1,31,0.43130544
0.2866341,0.2085771,0.23981297,0.26497582,33,c1_1,33,0.4334783
0.29050067,0.2283597,0.22601323,0.25512633,35,c1_1,35,0.44602007
0.2974003,0.2258436,0.2177546,0.25900155,37,c1_1,37,0.44781584
0.302117,0.23732889,0.21384798,0.24670619,39,c1_1,39,0.45465595
0.30745256,0.24146996,0.19845366,0.25262377,41,c1_1,41,0.4676976
0.30888253,0.25022125,0.19208576,0.24881041,43,c1_1,43,0.47799823
0.321866,0.25337175,0.1757394,0.24902286,45,c1_1,45,0.47922197
0.33578092,0.25443733,0.16801976,0.24176203,47,c1_1,47,0.49376398
0.3434969,0.24810235,0.16773818,0.2406626,49,c1_1,49,0.49827123
0.35387635,0.25368875,0.15997128,0.23246354,51,c1_1,51,0.50393045
0.34616488,0.25472263,0.16399762,0.23511492,53,c1_1,53,0.5204292
0.35961953,0.2555886,0.15767236,0.22711958,55,c1_1,55,0.5226173
0.3846092,0.2549015,0.1453674,0.21512188,57,c1_1,57,0.5269752
0.38912976,0.25723,0.14202656,0.21161368,59,c1_1,59,0.5275566
0.405178,0.25669527,0.13215591,0.20597075,61,c1_1,61,0.5311333
0.39202613,0.26369908,0.13646747,0.20780732,63,c1_1,63,0.5362405
0.33690318,0.25966185,0.16307242,0.24036242,65,c1_1,65,0.5437371
0.33592856,0.25369862,0.16395137,0.24642146,67,c1_1,67,0.54746187
0.31643847,0.25972646,0.16832313,0.2555119,69,c1_1,69,0.5632145
0.3280549,0.26311365,0.15773787,0.25109357,71,c1_1,71,0.56884885
0.3448873,0.26548868,0.14978519,0.23983884,73,c1_1,73,0.5726982
0.35589764,0.26758334,0.14548433,0.23103477,75,c1_1,75,0.5749665
0.34362954,0.2609043,0.15945035,0.23601578,77,c1_1,77,0.5798603
0.35484308,0.26258668,0.15605678,0.22651348,79,c1_1,79,0.58516747
0.36574298,0.26575345,0.15106888,0.21743461,81,c1_1,81,0.5877568
0.39045084,0.26642922,0.13981445,0.20330548,83,c1_1,83,0.5957076
0.39625353,0.26736614,0.13972455,0.19665572,85,c1_1,85,0.59877026
0.42992267,0.26530585,0.12695369,0.17781782,87,c1_1,87,0.6013746
0.40083888,0.26924738,0.13778448,0.19212921,89,c1_1,89,0.6078696
0.4065117,0.2708423,0.13489947,0.1877466,91,c1_1,91,0.6182356
0.40422907,0.26933146,0.14088106,0.18555836,93,c1_1,93,0.6228127
0.40453103,0.2673926,0.14019795,0.18787844,95,c1_1,95,0.6256511
0.38896063,0.2732734,0.14340724,0.19435875,97,c1_1,97,0.6280718
0.41274613,0.27060246,0.13408962,0.18256174,99,c1_1,99,0.62892306
0.44056335,0.27248603,0.12109168,0.16585904,101,c1_1,101,0.6337474
0.46940872,0.27105385,0.109052666,0.15048485,103,c1_1,103,0.63572353
0.4773382,0.2665802,0.10625894,0.14982264,105,c1_1,105,0.6360798
0.39791718,0.27342302,0.14012352,0.18853629,107,c1_1,107,0.63723415
0.41301906,0.27222964,0.13120843,0.18354282,109,c1_1,109,0.63825583
0.41459417,0.27280933,0.12808195,0.18451463,111,c1_1,111,0.64094335
0.42536587,0.2736454,0.12230426,0.17868449,113,c1_1,113,0.64379734
0.4467748,0.27491182,0.11156303,0.16675036,115,c1_1,115,0.64444077
0.43703586,0.27558726,0.115565285,0.17181157,117,c1_1,117,0.6458339
0.4718012,0.2709411,0.10209007,0.15516768,119,c1_1,119,0.6473318
0.48612252,0.27182212,0.096883446,0.14517197,121,c1_1,121,0.6486608
0.5180019,0.2671835,0.086757384,0.12805714,123,c1_1,123,0.64887655
0.49404866,0.26884997,0.09339953,0.14370193,125,c1_1,125,0.65048075
0.50614524,0.26860222,0.089426376,0.13582616,127,c1_1,127,0.650911
0.47985607,0.27216366,0.099517375,0.14846277,129,c1_1,129,0.65253913
0.5025114,0.26914304,0.0944923,0.13385327,131,c1_1,131,0.6527983
0.512044,0.26712555,0.09261286,0.12821758,133,c1_1,133,0.6537433
