,0,pseudotime,Cell type annotation
21173,-5.0909157,0.0,Undifferentiated
46471,-5.4590745,1.6310818966220294e-05,Undifferentiated
21445,-4.389835,3.262163793244059e-05,Undifferentiated
25934,-5.4338393,4.893245689866088e-05,Undifferentiated
30327,-4.6514506,6.524327586488118e-05,Undifferentiated
29153,-4.1801095,8.155409483110147e-05,Undifferentiated
19273,-6.2695346,9.786491379732176e-05,Undifferentiated
18708,-4.482795,0.00011417573276354206,Undifferentiated
28983,-4.3873243,0.00013048655172976235,Undifferentiated
24615,-5.3804708,0.00014679737069598264,Undifferentiated
43850,-6.0907583,0.00016310818966220293,Undifferentiated
43333,-2.4310808,0.00017941900862842322,Undifferentiated
18873,-5.249229,0.00019572982759464351,Undifferentiated
18701,-6.229906,0.00021204064656086383,Undifferentiated
27885,-5.01155,0.00022835146552708412,Undifferentiated
21343,-5.8695717,0.0002446622844933044,Undifferentiated
25377,-5.8236313,0.0002609731034595247,Undifferentiated
24704,-5.9677324,0.000277283922425745,Undifferentiated
28435,-5.8121033,0.0002935947413919653,Undifferentiated
23239,-5.741662,0.0003099055603581856,Undifferentiated
21020,-6.214376,0.00032621637932440587,Undifferentiated
24259,-4.2251334,0.0003425271982906262,Undifferentiated
43514,-5.099302,0.00035883801725684645,Undifferentiated
25288,-6.167413,0.00037514883622306676,Undifferentiated
19984,-5.5160346,0.00039145965518928703,Undifferentiated
24506,-7.35349,0.00040777047415550735,Undifferentiated
20832,-6.3546743,0.00042408129312172766,Undifferentiated
30155,-6.0680957,0.0004403921120879479,Undifferentiated
25584,-5.8872943,0.00045670293105416824,Undifferentiated
28406,-5.745121,0.0004730137500203885,Undifferentiated
29556,-7.164695,0.0004893245689866088,Undifferentiated
28635,-6.037554,0.0005056353879528291,Undifferentiated
20193,-4.499662,0.0005219462069190494,Undifferentiated
28995,-6.0021033,0.0005382570258852697,Undifferentiated
28113,-5.1265545,0.00055456784485149,Undifferentiated
20293,-5.447057,0.0005708786638177103,Undifferentiated
40164,-5.0407553,0.0005871894827839306,Undifferentiated
19324,-5.6704984,0.0006035003017501509,Undifferentiated
27534,-6.0440574,0.0006198111207163712,Undifferentiated
24522,-6.6434007,0.0006361219396825914,Undifferentiated
23187,-5.101066,0.0006524327586488117,Undifferentiated
48597,-7.492085,0.000668743577615032,Undifferentiated
29418,-6.6330776,0.0006850543965812524,Undifferentiated
26239,-5.1951303,0.0007013652155474727,Undifferentiated
29029,-5.61014,0.0007176760345136929,Undifferentiated
24478,-5.1611447,0.0007339868534799132,Undifferentiated
22307,-5.899578,0.0007502976724461335,Undifferentiated
20476,-5.533204,0.0007666084914123538,Undifferentiated
49996,-6.545969,0.0007829193103785741,Undifferentiated
21035,-6.312348,0.0007992301293447944,Undifferentiated
27770,-5.1338077,0.0008155409483110147,Undifferentiated
22111,-6.5831037,0.000831851767277235,Undifferentiated
25238,-4.120425,0.0008481625862434553,Undifferentiated
49347,-6.1238365,0.0008644734052096755,Undifferentiated
18762,-5.0384064,0.0008807842241758959,Undifferentiated
20188,-6.2034845,0.0008970950431421162,Undifferentiated
48794,-5.7164054,0.0009134058621083365,Undifferentiated
51039,-5.65243,0.0009297166810745568,Undifferentiated
25189,-5.6755085,0.000946027500040777,Undifferentiated
47066,-5.434404,0.0009623383190069973,Undifferentiated
49566,-5.657218,0.0009786491379732175,Undifferentiated
52020,-5.7514596,0.000994959956939438,Undifferentiated
23789,-5.9772677,0.0010112707759056582,Undifferentiated
59175,-3.986671,0.0010275815948718786,Undifferentiated
23928,-4.921933,0.0010438924138380988,Undifferentiated
29127,-6.6244354,0.001060203232804319,Undifferentiated
27789,-6.124526,0.0010765140517705394,Undifferentiated
25948,-6.6660438,0.0010928248707367597,Undifferentiated
25627,-6.2076764,0.00110913568970298,Undifferentiated
48014,-7.2225833,0.0011254465086692003,Undifferentiated
29196,-4.97874,0.0011417573276354205,Undifferentiated
27080,-6.324955,0.001158068146601641,Undifferentiated
24565,-6.8577456,0.0011743789655678611,Undifferentiated
19770,-5.9286857,0.0011906897845340816,Undifferentiated
46019,-2.4166791,0.0012070006035003018,Undifferentiated
27484,-4.5643363,0.001223311422466522,Undifferentiated
27316,-5.894493,0.0012396222414327424,Undifferentiated
25755,-6.105079,0.0012559330603989626,Undifferentiated
22546,-6.454803,0.0012722438793651828,Undifferentiated
