k,variable,value
0.36372274454890974,0_real,0.43141998781953966
0.3635727145429086,0_real,0.43116072663831073
0.3634226845369074,0_real,0.43090163429695755
0.3632726545309062,0_real,0.43064271047334063
0.36312262452490496,0_real,0.4303839548462354
0.36297259451890374,0_real,0.4301253670953388
0.3628225645129026,0_real,0.42986694690123334
0.3626725345069014,0_real,0.42960869394542023
0.3625225045009002,0_real,0.4293506079102976
0.36237247449489896,0_real,0.4290926884791581
0.36222244448889773,0_real,0.42883493533618466
0.3620724144828966,0_real,0.4285773481664557
0.3619223844768954,0_real,0.42831992665593127
0.3617723544708942,0_real,0.42806267049145363
0.36162232446489295,0_real,0.42780557936074215
0.36147229445889173,0_real,0.42754865295239675
0.3613222644528906,0_real,0.42729189095588244
0.3611722344468894,0_real,0.4270352930615404
0.3610222044408882,0_real,0.42677885896057455
0.36087217443488695,0_real,0.42652258834504286
0.3607221444288857,0_real,0.42626648090787705
0.3605721144228846,0_real,0.42601053634285146
0.3604220844168834,0_real,0.42575475434459453
0.36027205441088217,0_real,0.4254991346085887
0.36012202440488095,0_real,0.4252436768311598
0.3599719943988797,0_real,0.42498838070946965
0.3598219643928786,0_real,0.4247332459415247
0.3596719343868774,0_real,0.4244782722261701
0.35952190438087617,0_real,0.42422345926307525
0.35937187437487494,0_real,0.42396880675274545
0.3592218443688737,0_real,0.4237143143965112
0.3590718143628726,0_real,0.42345998189651946
0.3589217843568714,0_real,0.4232058089557466
0.35877175435087016,0_real,0.42295179527797955
0.35862172434486894,0_real,0.42269794056782034
0.3584716943388677,0_real,0.42244424453068363
0.3583216643328666,0_real,0.4221907068727847
0.3581716343268654,0_real,0.42193732730115285
0.35802160432086416,0_real,0.4216841055236088
0.35787157431486294,0_real,0.42143104124877867
0.3577215443088617,0_real,0.4211781341860818
0.3575715143028606,0_real,0.42092538404573165
0.3574214842968594,0_real,0.4206727905387227
0.35727145429085816,0_real,0.4204203533768468
0.35712142428485694,0_real,0.42016807227267017
0.3569713942788558,0_real,0.4199159469395452
0.3568213642728546,0_real,0.41966397709159814
0.3566713342668534,0_real,0.4194121624437312
0.35652130426085216,0_real,0.41916050271161853
0.35637127425485093,0_real,0.4189089976117008
0.3562212442488498,0_real,0.4186576468611871
0.3560712142428486,0_real,0.4184064501780478
0.3559211842368474,0_real,0.4181554072810136
0.35577115423084615,0_real,0.4179045178895714
0.35562112422484493,0_real,0.4176537817239639
0.3554710942188438,0_real,0.4174031985051894
0.3553210642128426,0_real,0.4171527679549834
0.3551710342068414,0_real,0.4169024897958381
0.35502100420084015,0_real,0.4166523637509856
0.35487097419483893,0_real,0.4164023895443945
0.3547209441888378,0_real,0.41615256690078173
0.3545709141828366,0_real,0.41590289554558346
0.35442088417683537,0_real,0.41565337520498336
0.35427085417083415,0_real,0.41540400560588325
0.3541208241648329,0_real,0.41515478647592113
0.3539707941588318,0_real,0.4149057175434522
0.3538207641528306,0_real,0.4146567985375521
0.35367073414682937,0_real,0.41440802918802333
0.35352070414082815,0_real,0.4141594092253774
0.3533706741348269,0_real,0.4139109383808421
0.3532206441288258,0_real,0.41366261638635593
0.3530706141228246,0_real,0.4134144429745649
0.35292058411682337,0_real,0.4131664178788179
0.35277055411082214,0_real,0.4129185408331786
0.3526205241048209,0_real,0.41267081157239727
0.3524704940988198,0_real,0.41242322983192786
0.3523204640928186,0_real,0.41217579534791915
0.35217043408681736,0_real,0.41192850785721585
0.35202040408081614,0_real,0.4116813670973464
0.3518703740748149,0_real,0.4114343728065378
0.3517203440688138,0_real,0.4111875247236878
0.3515703140628126,0_real,0.41094082258838993
0.35142028405681136,0_real,0.41069426614091015
0.35127025405081014,0_real,0.4104478551221981
0.3511202240448089,0_real,0.4102015892738745
0.3509701940388078,0_real,0.40995546833823265
0.3508201640328066,0_real,0.40970949205824225
0.35067013402680536,0_real,0.409463660177533
0.35052010402080414,0_real,0.40921797244040603
0.3503700740148029,0_real,0.4089724285918279
0.3502200440088018,0_real,0.4087270283774162
0.3500700140028006,0_real,0.4084817715434564
0.34991998399679936,0_real,0.4082366578368893
0.34976995399079813,0_real,0.4079916870053023
0.3496199239847969,0_real,0.407746858796944
0.3494698939787958,0_real,0.4075021729607045
0.3493198639727946,0_real,0.40725762924612685
0.34916983396679335,0_real,0.40701322740339135
0.34901980396079213,0_real,0.40676896718332756
0.3488697739547909,0_real,0.40652484833739894
0.3487197439487898,0_real,0.4062808706177125
0.3485697139427886,0_real,0.4060370337770074
0.34841968393678735,0_real,0.40579333756865754
0.3482696539307861,0_real,0.40554978174666234
0.3481196239247849,0_real,0.4053063660656578
0.3479695939187838,0_real,0.40506309028089915
0.34781956391278257,0_real,0.4048199541482695
0.34766953390678135,0_real,0.4045769574242745
0.3475195039007801,0_real,0.40433409986603974
0.3473694738947789,0_real,0.404091381231304
0.3472194438887778,0_real,0.40384880127842593
0.34706941388277657,0_real,0.40360635976637466
