0,1,2,3,time,classifier,pseudotime_index,pseudotime
0.21705566,0.6003353,0.14289722,0.039711747,287,c1_0,287,0.89751154
0.108109854,0.75759315,0.10502675,0.029270217,291,c1_0,291,0.89800537
0.21481021,0.6543369,0.10002248,0.03083032,295,c1_0,295,0.89871895
0.19958393,0.58455044,0.15554856,0.06031706,299,c1_0,299,0.899576
0.27482948,0.48161298,0.17362092,0.069936514,303,c1_0,303,0.9003967
0.37781277,0.3987172,0.1640656,0.059404366,307,c1_0,307,0.90115416
0.41016534,0.37824753,0.15383032,0.057756852,311,c1_0,311,0.90192634
0.46140715,0.37949753,0.11384574,0.0452496,315,c1_0,315,0.90227175
0.59147364,0.31717795,0.066800326,0.024548057,319,c1_0,319,0.9025168
0.4001069,0.4506015,0.10654208,0.042749595,323,c1_0,323,0.90296054
0.2850621,0.55352527,0.114807285,0.0466053,327,c1_0,327,0.9035328
0.31870487,0.55678546,0.089588314,0.03492135,331,c1_0,331,0.9037851
0.43416515,0.46024406,0.079142205,0.02644859,335,c1_0,335,0.90443015
0.40633506,0.48689348,0.08136611,0.025405372,339,c1_0,339,0.9046584
0.43754128,0.45690864,0.081095435,0.024454633,343,c1_0,343,0.9051821
0.52125067,0.40075374,0.061177943,0.016817618,347,c1_0,347,0.90536463
0.4520756,0.47655582,0.055405237,0.01596337,351,c1_0,351,0.9057109
0.16900103,0.728714,0.07966717,0.022617793,355,c1_0,355,0.9068693
0.09189182,0.74131656,0.12404735,0.042744238,359,c1_0,359,0.9070593
0.09232501,0.6432095,0.20061871,0.06384676,363,c1_0,363,0.90741247
0.052439995,0.6404781,0.2307688,0.07631317,367,c1_0,367,0.90795743
0.08552826,0.6449084,0.20065014,0.068913214,371,c1_0,371,0.9085212
0.03139978,0.6753741,0.19275461,0.100471534,375,c1_0,375,0.9088485
0.012449483,0.68685997,0.19807416,0.10261641,379,c1_0,379,0.90918195
0.025343068,0.7746146,0.1377156,0.062326763,383,c1_0,383,0.9093679
0.020766001,0.8496402,0.08837,0.04122389,387,c1_0,387,0.9097659
0.025435,0.89034927,0.05880542,0.025410332,391,c1_0,391,0.91035026
0.01717658,0.9330975,0.034974582,0.014751339,395,c1_0,395,0.9110679
0.025128251,0.91785246,0.040574178,0.01644504,399,c1_0,399,0.91181576
0.049297053,0.8897894,0.043554895,0.017358558,403,c1_0,403,0.9127021
0.046963803,0.8906365,0.045397155,0.017002601,407,c1_0,407,0.9132955
0.068469875,0.85900825,0.050914884,0.021606933,411,c1_0,411,0.91356266
0.14262015,0.77329075,0.061614744,0.022474322,415,c1_0,415,0.91434807
0.1589229,0.7492189,0.06997935,0.021878878,419,c1_0,419,0.91493684
0.23233539,0.6738253,0.075621426,0.018217864,423,c1_0,423,0.9155168
0.06988195,0.8437356,0.072893605,0.013488907,427,c1_0,427,0.9163312
0.049034,0.88101584,0.05748197,0.012468256,431,c1_0,431,0.9177081
0.041074265,0.87700295,0.07186945,0.010053296,435,c1_0,435,0.91919535
0.032056347,0.92216384,0.03860816,0.0071716346,439,c1_0,439,0.919686
0.03180996,0.90181136,0.058814738,0.0075638946,443,c1_0,443,0.92120457
