0,1,2,3,time,classifier,pseudotime_index,pseudotime
0.58448154,0.16889943,0.17033252,0.07628654,3,c1_0,3,0.8042416
0.40247107,0.20800994,0.22107756,0.16844137,7,c1_0,7,0.806724
0.3201574,0.22078688,0.2672176,0.19183813,11,c1_0,11,0.8094284
0.29565123,0.2301202,0.2794116,0.194817,15,c1_0,15,0.81074214
0.2918981,0.23047464,0.27393538,0.2036919,19,c1_0,19,0.8116821
0.3143503,0.24526113,0.25286344,0.18752517,23,c1_0,23,0.8133058
0.31525904,0.21676336,0.269089,0.19888854,27,c1_0,27,0.8148066
0.30559725,0.23633447,0.25805974,0.20000847,31,c1_0,31,0.81655234
0.2883941,0.24188964,0.26466352,0.20505276,35,c1_0,35,0.8195341
0.2927079,0.24034171,0.25909957,0.20785086,39,c1_0,39,0.82294726
0.30519685,0.24374755,0.25637227,0.19468325,43,c1_0,43,0.8238628
0.29870054,0.24648999,0.25725564,0.19755383,47,c1_0,47,0.8272912
0.29049155,0.24824914,0.25909582,0.20216343,51,c1_0,51,0.8301093
0.28730813,0.24130355,0.27818048,0.19320792,55,c1_0,55,0.8322839
0.30986473,0.24043153,0.2558714,0.19383232,59,c1_0,59,0.83429587
0.32991797,0.24530333,0.24022819,0.18455042,63,c1_0,63,0.8350815
0.3137586,0.2422466,0.2543934,0.18960145,67,c1_0,67,0.8369641
0.31232587,0.24998163,0.2570102,0.18068235,71,c1_0,71,0.8388823
0.3443577,0.24350367,0.25348088,0.15865774,75,c1_0,75,0.8394221
0.38531727,0.24490671,0.23138683,0.13838919,79,c1_0,79,0.8409384
0.36322546,0.2450502,0.23206152,0.15966278,83,c1_0,83,0.8429614
0.3516775,0.24679755,0.22102243,0.1805025,87,c1_0,87,0.84507793
0.3640441,0.25305197,0.21151143,0.17139252,91,c1_0,91,0.846564
0.36904836,0.25320682,0.2082348,0.16951002,95,c1_0,95,0.84759885
0.314056,0.25499886,0.22140475,0.20954034,99,c1_0,99,0.8502942
0.30066505,0.25630984,0.22136407,0.221661,103,c1_0,103,0.85132843
0.22832686,0.24711154,0.27108282,0.25347877,107,c1_0,107,0.8521673
0.15914139,0.256785,0.3183554,0.2657182,111,c1_0,111,0.8529391
0.20061779,0.2403097,0.2978,0.2612725,115,c1_0,115,0.85556084
0.19027308,0.23125151,0.31648684,0.2619886,119,c1_0,119,0.8565745
0.21140447,0.24090831,0.30914924,0.23853801,123,c1_0,123,0.8577524
0.22215554,0.23229739,0.31264552,0.23290156,127,c1_0,127,0.8588771
0.21428698,0.22988123,0.3230041,0.23282774,131,c1_0,131,0.86219233
0.23857337,0.24319315,0.2970087,0.22122483,135,c1_0,135,0.8631629
0.21236111,0.23341435,0.32299465,0.23122993,139,c1_0,139,0.8659281
0.2020401,0.23341683,0.32671845,0.23782457,143,c1_0,143,0.86782444
0.24715227,0.23673987,0.29882443,0.21728347,147,c1_0,147,0.8685153
