time,state,smoothing,residuals,variance,ac1,0,1,2,3
259,0.23416918745736348,0.23491945090499394,-0.0007502634476304615,4.240159186985771e-05,0.030501608949968582,0.8526553,0.120071866,0.0141191855,0.0131537
260,0.2396260078804073,0.23546137482543036,0.004164633054976941,4.206713691983596e-05,0.039303132345855925,,,,
261,0.23606903501176776,0.2360075555078842,6.147950388357692e-05,4.177630989029311e-05,0.04312548434837711,,,,
262,0.243674198123938,0.23655802175996107,0.007116176363976934,4.213095657425574e-05,0.043087866492632264,,,,
263,0.24944913354370318,0.23711285383899208,0.0123362797047111,4.337692103617789e-05,0.05956705833939712,,,,
264,0.23474533656645272,0.23767215872238756,-0.002926822155934844,4.338267858445767e-05,0.05501253531304787,,,,
265,0.2437198185769031,0.23823610884619012,0.005483709730712993,4.3385508326671756e-05,0.05783057669797287,,,,
266,0.2401701066344184,0.23880472219359314,0.0013653844408252624,4.3154232767102224e-05,0.061958879251259535,,,,
267,0.24894944496362154,0.23937781891423796,0.00957162604938358,4.383491585233449e-05,0.06290044383488072,,,,
268,0.25224615289586105,0.23995520689472716,0.012290946001133896,4.4999352660626613e-05,0.08131700096170963,,,,
269,0.24458426658878515,0.24053646262264283,0.0040478039661423215,4.4995602568778794e-05,0.08279635006703177,0.8570031,0.112966344,0.015738884,0.014291609
270,0.23719033631580153,0.2411209757015771,-0.003930639385775564,4.442161118690149e-05,0.0680392817087471,,,,
271,0.23794181156711175,0.24170800920192975,-0.0037661976348180026,4.40827267366394e-05,0.05850811267881073,,,,
272,0.23414805203667294,0.24229677532406993,-0.008148723287396992,4.388309741401078e-05,0.07222497301286132,,,,
273,0.24620587129518695,0.24288664636463964,0.0033192249305473154,4.380856741297975e-05,0.07149015208914963,,,,
274,0.22806426807202912,0.24347709051540703,-0.01541282244337791,4.543666281402758e-05,0.06485771369954166,,,,
275,0.24064600667247973,0.2440676143912156,-0.0034216077187358696,4.5368112565071816e-05,0.07262924390890761,,,,
276,0.23954584393259265,0.24465786654269148,-0.005112022610098826,4.5549851077916015e-05,0.07449541577815467,,,,
277,0.25659925051369,0.24524773432899113,0.011351516184698845,4.563447227512824e-05,0.06530057101304194,,,,
278,0.24071853725161066,0.2458372198221263,-0.005118682570515648,4.581622888837826e-05,0.054076459627965714,,,,
279,0.24848183337016322,0.2464262272803683,0.002055606089794909,4.553619107495396e-05,0.060168610297604355,0.85745656,0.11917001,0.012865903,0.010507483
280,0.2573106594379251,0.247014587172415,0.010296072265510076,4.605658076952525e-05,0.0633650508161269,,,,
281,0.23414418531141876,0.24760212846470267,-0.013457943153283913,4.7445031699216105e-05,0.03711611321739932,,,,
282,0.23989245224036085,0.24818881652246497,-0.008296364282104118,4.756265186695712e-05,0.07089373035782322,,,,
